timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1647963103899,440,https://blazedemo.com/,200,OK,Thread Group 1-1,text,true,,286513,3704,5,5,https://blazedemo.com/,225,0,64
1647963103899,227,https://blazedemo.com/-0,200,OK,Thread Group 1-1,text,true,,3228,594,5,5,https://blazedemo.com/,225,0,64
1647963104126,114,https://blazedemo.com/-1,200,OK,Thread Group 1-1,text,true,,83982,636,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,73,0,49
1647963104126,155,https://blazedemo.com/-2,200,OK,Thread Group 1-1,text,true,,28981,617,5,5,https://blazedemo.com/assets/bootstrap.min.js,138,0,67
1647963104126,95,https://blazedemo.com/-3,200,OK,Thread Group 1-1,text,true,,39488,619,5,5,https://blazedemo.com/assets/bootstrap-table.js,77,0,0
1647963104126,213,https://blazedemo.com/-4,200,OK,Thread Group 1-1,text,true,,126767,618,5,5,https://blazedemo.com/assets/bootstrap.min.css,148,0,73
1647963104126,131,https://blazedemo.com/-5,200,OK,Thread Group 1-1,text,true,,4067,620,5,5,https://blazedemo.com/assets/bootstrap-table.css,129,0,56
1647963103897,440,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,286513,3704,5,5,null,225,2,64
1647963104102,493,https://blazedemo.com/,200,OK,Thread Group 1-3,text,true,,286513,3704,7,7,https://blazedemo.com/,232,0,64
1647963104102,232,https://blazedemo.com/-0,200,OK,Thread Group 1-3,text,true,,3228,594,7,7,https://blazedemo.com/,232,0,64
1647963104334,92,https://blazedemo.com/-1,200,OK,Thread Group 1-3,text,true,,83982,636,7,7,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,47,0,22
1647963104334,92,https://blazedemo.com/-2,200,OK,Thread Group 1-3,text,true,,28981,617,7,7,https://blazedemo.com/assets/bootstrap.min.js,66,0,0
1647963104335,222,https://blazedemo.com/-3,200,OK,Thread Group 1-3,text,true,,39488,619,7,7,https://blazedemo.com/assets/bootstrap-table.js,166,0,80
1647963104335,260,https://blazedemo.com/-4,200,OK,Thread Group 1-3,text,true,,126767,618,7,7,https://blazedemo.com/assets/bootstrap.min.css,199,0,84
1647963104335,164,https://blazedemo.com/-5,200,OK,Thread Group 1-3,text,true,,4067,620,7,7,https://blazedemo.com/assets/bootstrap-table.css,161,0,73
1647963104101,493,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,286513,3704,7,7,null,232,2,64
1647963104200,480,https://blazedemo.com/,200,OK,Thread Group 1-4,text,true,,286513,3704,8,8,https://blazedemo.com/,260,0,63
1647963104200,261,https://blazedemo.com/-0,200,OK,Thread Group 1-4,text,true,,3228,594,8,8,https://blazedemo.com/,260,0,63
1647963104462,138,https://blazedemo.com/-1,200,OK,Thread Group 1-4,text,true,,83982,636,8,8,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,77,0,21
1647963104462,102,https://blazedemo.com/-2,200,OK,Thread Group 1-4,text,true,,28981,617,8,8,https://blazedemo.com/assets/bootstrap.min.js,75,0,0
1647963104462,179,https://blazedemo.com/-3,200,OK,Thread Group 1-4,text,true,,39488,619,8,8,https://blazedemo.com/assets/bootstrap-table.js,154,0,86
1647963104462,218,https://blazedemo.com/-4,200,OK,Thread Group 1-4,text,true,,126767,618,8,8,https://blazedemo.com/assets/bootstrap.min.css,163,0,96
1647963104462,174,https://blazedemo.com/-5,200,OK,Thread Group 1-4,text,true,,4067,620,8,8,https://blazedemo.com/assets/bootstrap-table.css,173,0,98
1647963104200,480,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,286513,3704,8,8,null,260,1,63
1647963103998,738,https://blazedemo.com/,200,OK,Thread Group 1-2,text,true,,286513,3704,9,9,https://blazedemo.com/,478,0,66
1647963103998,480,https://blazedemo.com/-0,200,OK,Thread Group 1-2,text,true,,3228,594,9,9,https://blazedemo.com/,478,0,66
1647963104479,121,https://blazedemo.com/-1,200,OK,Thread Group 1-2,text,true,,83982,636,9,9,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,80,0,57
1647963104479,100,https://blazedemo.com/-2,200,OK,Thread Group 1-2,text,true,,28981,617,9,9,https://blazedemo.com/assets/bootstrap.min.js,76,0,0
1647963104480,256,https://blazedemo.com/-3,200,OK,Thread Group 1-2,text,true,,39488,619,9,9,https://blazedemo.com/assets/bootstrap-table.js,227,0,107
1647963104480,230,https://blazedemo.com/-4,200,OK,Thread Group 1-2,text,true,,126767,618,9,9,https://blazedemo.com/assets/bootstrap.min.css,165,0,95
1647963104480,227,https://blazedemo.com/-5,200,OK,Thread Group 1-2,text,true,,4067,620,9,9,https://blazedemo.com/assets/bootstrap-table.css,226,0,106
1647963103997,738,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,286513,3704,9,9,null,478,1,66
1647963104299,815,https://blazedemo.com/,200,OK,Thread Group 1-5,text,true,,286513,3704,13,13,https://blazedemo.com/,459,0,64
1647963104299,462,https://blazedemo.com/-0,200,OK,Thread Group 1-5,text,true,,3228,594,13,13,https://blazedemo.com/,459,0,64
1647963104762,251,https://blazedemo.com/-1,200,OK,Thread Group 1-5,text,true,,83982,636,13,13,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,122,0,39
1647963104762,291,https://blazedemo.com/-2,200,OK,Thread Group 1-5,text,true,,28981,617,13,13,https://blazedemo.com/assets/bootstrap.min.js,266,0,194
1647963104762,107,https://blazedemo.com/-3,200,OK,Thread Group 1-5,text,true,,39488,619,13,13,https://blazedemo.com/assets/bootstrap-table.js,80,0,0
1647963104762,352,https://blazedemo.com/-4,200,OK,Thread Group 1-5,text,true,,126767,618,13,13,https://blazedemo.com/assets/bootstrap.min.css,302,0,193
1647963104762,281,https://blazedemo.com/-5,200,OK,Thread Group 1-5,text,true,,4067,620,13,13,https://blazedemo.com/assets/bootstrap-table.css,279,0,195
1647963104298,815,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,286513,3704,13,13,null,459,2,64
1647963104402,789,https://blazedemo.com/,200,OK,Thread Group 1-6,text,true,,286513,3704,13,13,https://blazedemo.com/,407,0,75
1647963104402,415,https://blazedemo.com/-0,200,OK,Thread Group 1-6,text,true,,3228,594,13,13,https://blazedemo.com/,407,0,75
1647963104818,217,https://blazedemo.com/-1,200,OK,Thread Group 1-6,text,true,,83982,636,13,13,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,163,0,138
1647963104818,286,https://blazedemo.com/-2,200,OK,Thread Group 1-6,text,true,,28981,617,13,13,https://blazedemo.com/assets/bootstrap.min.js,259,0,186
1647963104818,176,https://blazedemo.com/-3,200,OK,Thread Group 1-6,text,true,,39488,619,13,13,https://blazedemo.com/assets/bootstrap-table.js,157,0,0
1647963104818,373,https://blazedemo.com/-4,200,OK,Thread Group 1-6,text,true,,126767,618,13,13,https://blazedemo.com/assets/bootstrap.min.css,283,0,199
1647963104818,258,https://blazedemo.com/-5,200,OK,Thread Group 1-6,text,true,,4067,620,13,13,https://blazedemo.com/assets/bootstrap-table.css,254,0,188
